% Model:              1p44GHz_6mm_bore_mo4.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 23 2026, 03:02
% Dimension:          2
% Nodes:              400
% Expressions:        2
% Description:        Arrow surface
% r                       z                        Hrad                     Haxi
3.5000000000000005E-4     -0.0026250000000000006   -0.11906981328901325     0.25287466795357916
0.0010500000000000002     -0.0026250000000000006   -0.35086434290383933     0.24363956293495817
0.0017500000000000003     -0.0026250000000000006   -0.562959010140205       0.2245838424995395
0.0024500000000000004     -0.0026250000000000006   -0.7411133556416525      0.19559684017910825
0.0031500000000000005     -0.0026250000000000006   -0.8721804922240423      0.1582752278571514
0.003850000000000001      -0.0026250000000000006   -0.947352586843597       0.11614200635658957
0.00455                   -0.0026250000000000006   -0.9648865670237914      0.07399625196707067
0.005250000000000001      -0.0026250000000000006   -0.9303418321273189      0.036285722027093
0.00595                   -0.0026250000000000006   -0.8558282634403336      0.006804010077965844
0.006650000000000001      -0.0026250000000000006   -0.7573806268960676      -0.012837980471699234
0.007350000000000002      -0.0026250000000000006   -0.6503877695848639      -0.02369469700235915
0.008050000000000002      -0.0026250000000000006   -0.5458298298151083      -0.028369896972155313
0.00875                   -0.0026250000000000006   -0.44955016102494844     -0.02943274771210017
0.009450000000000002      -0.0026250000000000006   -0.36363243315546917     -0.02869454433188139
0.010150000000000001      -0.0026250000000000006   -0.2880320111802323      -0.027234269598803727
0.010850000000000002      -0.0026250000000000006   -0.22170536786278225     -0.025637163598205538
0.011550000000000001      -0.0026250000000000006   -0.1632388273466171      -0.02420213374738363
0.012250000000000002      -0.0026250000000000006   -0.11115686536583062     -0.02307226674808657
0.012950000000000003      -0.0026250000000000006   -0.06405806187487995     -0.02230828220284128
0.01365                   -0.0026250000000000006   -0.020666736970088882    -0.02192790694685973
3.5000000000000005E-4     -0.0018750000000000004   -0.12838134433002332     0.7789774225324045
0.0010500000000000002     -0.0018750000000000004   -0.37999289474507547     0.7526370407117924
0.0017500000000000003     -0.0018750000000000004   -0.6140104042778675      0.6963965575602065
