#Temperature Frequency
295.6	1340.2
295.49	1340.3
297.62	1340.3
290.6	1340.3
295.13	1340.3
293.69	1340.3
296.1	1340.3
295.05	1340.3
297.43	1340.3
296.7	1340.3
296.07	1340.4
299.37	1340.4
296.8	1340.4
297.67	1340.4
296.9	1340.4
283.01	1340.4
296.74	1340.4
288.34	1340.4
292.45	1340.4
303.69	1340.4
290.94	1340.4
293.22	1340.4
296.77	1340.4
286.38	1340.4
297.32	1340.4
283.45	1340.5
287.56	1340.5
292.06	1340.5
292.16	1340.5
291.04	1340.5
296.83	1340.5
287.73	1340.5
288.63	1340.5
295.83	1340.5
305.07	1340.5
296.19	1340.5
295.29	1340.5
292.98	1340.5
294.42	1340.5
301	1340.5
298.65	1340.5
289.33	1340.5
284.7	1340.5
296.35	1340.5
287.89	1340.5
285.85	1340.6
283.89	1340.6
289.99	1340.6
294.36	1340.6
296.39	1340.6
293.54	1340.6
290.12	1340.6
290.72	1340.6
289.47	1340.6
295.18	1340.6
297.41	1340.6
296.43	1340.6
291.97	1340.6
292.25	1340.6
298.27	1340.6
295.88	1340.6
295.69	1340.6
284.31	1340.6
296.88	1340.6
284.51	1340.6
291.16	1340.6
295.91	1340.7
288.04	1340.7
297.5	1340.7
297.54	1340.7
296.14	1340.7
291.77	1340.7
292.36	1340.7
292.88	1340.7
297.47	1340.7
297.38	1340.7
294.03	1340.7
296.3	1340.7
284.9	1340.7
286.89	1340.7
297.2	1340.7
285.1	1340.7
297.74	1340.7
285.29	1340.8
288.49	1340.8
288.18	1340.8
289.87	1340.8
297.28	1340.8
297.41	1340.8
294.48	1340.8
293.15	1340.8
291.68	1340.8
285.65	1340.8
293.29	1340.8
297.71	1340.8
276.88	1340.8
294.88	1340.8
294.93	1340.8
295.39	1340.8
289.74	1340.8
297.63	1340.8
295.94	1340.8
287.23	1340.9
295.44	1340.9
297.61	1340.9
292.63	1340.9
294.22	1340.9
296.95	1340.9
296.53	1340.9
297.47	1340.9
293.81	1340.9
295.53	1341
284.1	1341
291.58	1341
293.47	1341
299.73	1341
296.61	1341
297.45	1341.1
292.54	1341.1
302.14	1341.1
286.2	1341.1
289.07	1341.1
276.33	1341.1
291.89	1341.1
289.61	1341.1
291.27	1341.1
290.83	1341.1
294.59	1341.1
295.09	1341.1
293.62	1341.1
277.55	1341.2
292.73	1341.2
292.82	1341.2
296.97	1341.2
294.77	1341.2
296.93	1341.2
297.04	1341.2
297.18	1341.3
276.05	1341.3
282.57	1341.3
295.78	1341.3
287.08	1341.3
294.82	1341.3
297.57	1341.3
286.74	1341.3
295.34	1341.3
276.63	1341.4
296.66	1341.4
296.25	1341.4
297.48	1341.4
295.56	1341.4
288.79	1341.5
281.87	1341.5
274.56	1341.5
280.63	1341.5
293.75	1341.5
291.47	1341.5
297.78	1341.5
282.81	1341.6
287.41	1341.6
293.06	1341.6
266.61	1341.6
285.47	1341.6
277.12	1341.7
281.37	1341.7
286.02	1341.7
282.34	1341.7
262.35	1341.7
268.34	1341.7
288.92	1341.7
275.72	1341.8
290.37	1341.8
282.09	1341.8
267.92	1341.8
273.86	1341.8
273.5	1341.8
290.24	1341.8
281.13	1341.9
279.32	1341.9
271.19	1341.9
263.32	1341.9
267.49	1341.9
279.59	1341.9
271.58	1341.9
280.88	1341.9
270.4	1342
259.23	1342
280.12	1342
271.97	1342
278.51	1342.1
281.63	1342.2
279.86	1342.3
280.37	1342.3
294.1	1342.3
278.79	1342.3
272.36	1342.3
269.6	1342.4
267.06	1342.4
265.25	1342.4
283.68	1342.4
273.13	1342.4
272.76	1342.5
260.83	1342.5
279.06	1342.5
260.31	1342.6
249.68	1342.6
270.81	1342.7
269.18	1342.7
277.99	1342.7
261.35	1342.8
242.8	1342.8
255.9	1342.9
261.87	1342.9
286.56	1343
263.82	1343
259.79	1343.1
277.77	1343.1
270.03	1343.2
257.61	1343.2
248.38	1343.2
249.04	1343.3
246.35	1343.3
230.01	1343.4
255.34	1343.5
268.79	1343.5
247.74	1343.5
244.95	1343.5
254.15	1343.5
253.55	1343.6
251.09	1343.7
239.85	1343.7
247.05	1343.7
256.5	1343.8
234.3	1343.8
257.06	1343.8
252.34	1343.8
229.17	1343.9
254.76	1343.9
243.55	1344
244.27	1344
242.11	1344
250.36	1344.2
233.48	1344.3
241.39	1344.3
240.64	1344.5
252.96	1344.5
228.3	1344.5
222.25	1344.6
251.74	1344.6
235.96	1344.7
245.69	1344.8
231.82	1344.8
226.48	1344.9
239.12	1345
220.98	1345
237.56	1345.1
223.51	1345.1
235.18	1345.2
210.39	1345.2
217.6	1345.2
215.5	1345.3
230.96	1345.4
224.55	1345.4
225.53	1345.4
218.68	1345.5
232.69	1345.5
209.39	1345.9
214.51	1345.9
200.98	1346
202.05	1346
198.79	1346
207.34	1346.1
219.82	1346.1
204.19	1346.1
227.44	1346.2
197.69	1346.3
211.45	1346.3
196.58	1346.5
212.45	1346.5
195.46	1346.6
194.33	1346.7
187.09	1346.9
216.61	1346.9
191.96	1347.1
205.29	1347.2
189.54	1347.2
190.79	1347.4
199.97	1347.4
179.68	1347.5
174.55	1347.6
188.33	1347.6
193.21	1347.8
182.2	1347.9
183.45	1348
185.95	1348.2
184.73	1348.3
163.81	1348.4
178.44	1348.4
177.17	1348.5
162.43	1348.6
170.63	1348.8
165.22	1348.9
169.3	1348.9
166.59	1348.9
171.98	1348.9
158.25	1349
181.01	1349.2
159.67	1349.3
175.93	1349.3
161.08	1349.4
167.96	1349.4
156.84	1349.5
155.39	1349.6
147.93	1349.7
152.46	1349.7
138.54	1349.8
150.97	1349.9
133.59	1350
130.23	1350.2
146.42	1350.3
131.93	1350.3
140.19	1350.6
128.56	1350.7
141.78	1350.7
135.4	1352.2
118.04	1352.2
121.67	1352.3
116.18	1352.3
123.46	1352.5
112.45	1352.5
119.89	1352.6
102.7	1352.6
126.99	1352.7
87.451	1352.8
